Park,ParkLatitude,ParkLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
Carkeek Park,47.712194000000004,-122.37976299999998,Ichi Roll Teriyaki,47.719686911675346,-122.35506623717754,Sushi Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,McDonald's,47.69506999628123,-122.37448290805332,Fast Food Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,Domino's Pizza,47.690144849154,-122.37710058689117,Pizza Place
Carkeek Park,47.712194000000004,-122.37976299999998,Manna Smoked BBQ,47.704481604873834,-122.3559695458425,BBQ Joint
Carkeek Park,47.712194000000004,-122.37976299999998,Burrito Loco,47.69685924053192,-122.3721170425415,Mexican Restaurant
Carkeek Park,47.712194000000004,-122.37976299999998,Little Caesars Pizza,47.70077561218621,-122.36297137704587,Pizza Place
Carkeek Park,47.712194000000004,-122.37976299999998,SUBWAY,47.69412762198758,-122.37634694154724,Sandwich Place
Discovery Park,47.66083,-122.415282,Ray's Boathouse,47.67339213054635,-122.4076889481522,Seafood Restaurant
Discovery Park,47.66083,-122.415282,Un Bien,47.674786224826086,-122.40634572119197,Caribbean Restaurant
Discovery Park,47.66083,-122.415282,Ray's Cafe,47.67335404507489,-122.40769286642285,Seafood Restaurant
Discovery Park,47.66083,-122.415282,Ristorante Picolinos,47.67546742617405,-122.39849230731859,Italian Restaurant
Discovery Park,47.66083,-122.415282,Teriyaki Bowl,47.65783546275801,-122.38919200303168,Japanese Restaurant
Discovery Park,47.66083,-122.415282,8oz Burger & Co.,47.66860137419473,-122.38819226582079,Burger Joint
Discovery Park,47.66083,-122.415282,Cafe Besalu,47.67197127046342,-122.38775528572725,Bakery
Discovery Park,47.66083,-122.415282,La Carta De Oaxaca,47.6681689403781,-122.38576711568744,Mexican Restaurant
Discovery Park,47.66083,-122.415282,Ocho,47.66858851536586,-122.38744605331455,Tapas Restaurant
Discovery Park,47.66083,-122.415282,Sawyer,47.66693671237885,-122.38495772579647,New American Restaurant
Discovery Park,47.66083,-122.415282,San Fermo,47.66728678524871,-122.38451987054404,Italian Restaurant
Discovery Park,47.66083,-122.415282,Pestle Rock,47.66853238288658,-122.38661516925326,Thai Restaurant
Discovery Park,47.66083,-122.415282,Kimchi House,47.67137242571149,-122.38776305505162,Korean Restaurant
Discovery Park,47.66083,-122.415282,La Isla,47.668810967440976,-122.38713600824516,Latin American Restaurant
Discovery Park,47.66083,-122.415282,Sunny Teriyaki,47.65623837239373,-122.3844184615109,Japanese Restaurant
Discovery Park,47.66083,-122.415282,Bastille Café & Bar,47.66656387757019,-122.38345275534562,French Restaurant
Discovery Park,47.66083,-122.415282,Hood Famous Bakeshop,47.668451481146164,-122.38737906068135,Bakery
Discovery Park,47.66083,-122.415282,Tall Grass Bakery,47.671982269727195,-122.38769017869045,Bakery
Discovery Park,47.66083,-122.415282,Gather Kitchen + Bar,47.669722972367396,-122.38491065982053,New American Restaurant
Discovery Park,47.66083,-122.415282,Portage Bay Cafe & Catering,47.668574253388805,-122.39428793355201,Breakfast Spot
Discovery Park,47.66083,-122.415282,Gracia,47.66665796140054,-122.38375023148126,Mexican Restaurant
Discovery Park,47.66083,-122.415282,Scooter's Burgers,47.67109735420752,-122.38739128746657,Burger Joint
Discovery Park,47.66083,-122.415282,Billy Beach Sushi and Bar,47.668195572017616,-122.38420008543015,Sushi Restaurant
Discovery Park,47.66083,-122.415282,Geo's Cuban & Creole,47.674385593529,-122.4065983856548,Cuban Restaurant
Discovery Park,47.66083,-122.415282,Porkchop & Co.,47.667899101037584,-122.38377746399945,Sandwich Place
Discovery Park,47.66083,-122.415282,Shiku Sushi,47.66667360069147,-122.38343415042371,Sushi Restaurant
Discovery Park,47.66083,-122.415282,The Other Coast Cafe,47.66674597893921,-122.38372694136072,Sandwich Place
Discovery Park,47.66083,-122.415282,Bitterroot BBQ,47.66622067900765,-122.38330668978301,BBQ Joint
Discovery Park,47.66083,-122.415282,Moshi Moshi Sushi,47.66696288411547,-122.38393933789094,Sushi Restaurant
Discovery Park,47.66083,-122.415282,Red Mill Totem House,47.667722865565125,-122.39804688278022,Burger Joint
Discovery Park,47.66083,-122.415282,Sen Noodle Bar,47.66860649020962,-122.38666003410034,Thai Restaurant
Discovery Park,47.66083,-122.415282,India Bistro,47.66859730889656,-122.38641400658142,Indian Restaurant
